trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
22,24,4,100.0,45.9,0.138,0.82,64
22,30,4,100.0,126.9,0.307,11.97,56
23,2,4,100.0,27.55,0.093,0.17,66
23,6,4,100.0,30.1,0.106,0.34,72
23,12,4,100.0,47.35,0.088,0.12,52
23,18,4,100.0,36.8,0.12,0.43,79
23,24,4,100.0,34.85,0.208,1.07,64
23,30,4,100.0,58.45,0.152,1.37,68
24,2,4,100.0,29.45,0.096,0.0,91
24,6,4,100.0,31.6,0.108,0.1,67
24,12,4,100.0,54.4,0.13,0.04,71
24,18,4,100.0,53.4,0.094,1.28,54
24,24,4,100.0,48.05,0.123,0.17,28
24,30,4,100.0,45.35,0.165,0.29,35
25,2,4,100.0,48.15,0.103,1.39,97
25,6,4,100.0,21.45,0.108,0.02,65
25,12,4,100.0,63.15,0.07,0.04,67
25,18,4,100.0,45.5,0.125,0.36,51
25,24,4,100.0,43.2,0.16,0.99,48
25,30,4,100.0,31.55,0.165,0.1,48
26,2,4,100.0,24.95,0.088,0.03,72
26,6,4,100.0,35.45,0.104,0.06,92
26,12,4,100.0,38.8,0.127,0.08,51
26,18,4,100.0,38.85,0.145,1.47,91
26,24,4,100.0,64.75,0.127,0.66,55
26,30,4,100.0,60.4,0.122,2.99,70
27,2,4,100.0,32.65,0.12,0.07,113
27,6,4,100.0,55.3,0.107,3.41,68
27,12,4,100.0,45.5,0.128,0.82,60
27,18,4,100.0,53.65,0.126,2.13,60
27,24,4,100.0,47.1,0.123,2.14,78
27,30,4,100.0,41.0,0.179,0.04,52
28,2,4,100.0,24.0,0.089,0.0,86
28,6,4,100.0,42.85,0.095,0.2,51
28,12,4,100.0,45.1,0.102,0.55,55
28,18,4,100.0,44.35,0.16,0.99,76
28,24,4,100.0,60.65,0.151,0.88,62
28,30,4,100.0,38.0,0.159,0.58,48
29,2,4,100.0,124.7,0.13,1.0,114
29,6,4,100.0,38.3,0.117,0.15,54
29,12,4,100.0,41.2,0.107,0.02,54
29,18,4,100.0,74.65,0.118,2.18,50
29,24,4,100.0,31.55,0.191,0.04,53
29,30,4,100.0,60.75,0.144,2.98,67
30,2,4,100.0,26.95,0.087,0.0,82
30,6,4,100.0,47.45,0.1,0.22,75
30,12,4,100.0,40.45,0.129,0.55,84
30,18,4,100.0,34.4,0.138,1.3,97
30,24,4,100.0,31.75,0.142,0.77,59
30,30,4,100.0,46.85,0.136,1.58,93
31,2,4,100.0,21.2,0.088,0.0,67
31,6,4,100.0,31.55,0.103,0.01,56
31,12,4,100.0,49.2,0.088,0.77,38
31,18,4,100.0,47.15,0.151,1.87,70
31,24,4,100.0,40.2,0.152,1.17,93
31,30,4,100.0,45.9,0.16,0.85,49
32,2,4,100.0,29.95,0.092,0.01,82
32,6,4,100.0,21.2,0.134,0.02,67
32,12,4,100.0,40.3,0.113,0.94,81
32,18,4,100.0,37.75,0.108,0.27,66
32,24,4,100.0,31.55,0.148,0.2,52
32,30,4,100.0,37.9,0.17,1.31,71
33,2,4,100.0,24.9,0.108,0.02,96
33,6,4,100.0,53.45,0.077,1.4,127
33,12,4,100.0,49.9,0.13,0.04,66
33,18,4,100.0,29.05,0.152,0.16,31
33,24,4,100.0,48.55,0.196,1.07,53
33,30,4,100.0,82.75,0.204,5.41,118
34,2,4,100.0,27.45,0.087,0.01,82
34,6,4,100.0,156.55,0.121,3.03,57
34,12,4,100.0,25.85,0.143,0.09,41
34,18,4,100.0,37.6,0.129,0.38,52
34,24,4,100.0,62.15,0.152,1.21,91
34,30,4,100.0,59.35,0.201,1.62,62
35,2,4,100.0,19.2,0.112,0.02,108
35,6,4,100.0,35.65,0.142,0.03,61
35,12,4,100.0,45.3,0.203,0.45,65
35,18,4,100.0,45.4,0.226,1.47,43
35,24,4,100.0,55.85,0.145,0.64,56
35,30,4,100.0,35.8,0.142,0.62,49
36,2,4,100.0,37.55,0.108,0.03,65
36,6,4,100.0,45.6,0.077,0.05,61
36,12,4,100.0,46.9,0.123,0.0,62
36,18,4,100.0,38.35,0.178,0.18,54
36,24,4,100.0,45.85,0.127,1.33,56
36,30,4,100.0,41.65,0.151,1.24,66
37,2,4,100.0,27.0,0.099,0.31,100
37,6,4,100.0,37.7,0.151,0.18,58
37,12,4,100.0,33.85,0.114,0.39,53
37,18,4,100.0,48.05,0.172,0.3,48
37,24,4,100.0,46.55,0.125,0.25,37
37,30,4,100.0,60.8,0.208,2.44,63
38,2,4,100.0,21.45,0.091,0.01,111
38,6,4,100.0,111.2,0.096,0.01,62
38,12,4,100.0,38.05,0.159,0.35,58
38,18,4,100.0,56.4,0.153,0.31,55
38,24,4,100.0,37.5,0.136,0.59,67
38,30,4,100.0,125.45,0.341,20.21,354
39,2,4,100.0,21.45,0.089,0.0,96
39,6,4,100.0,33.7,0.11,0.0,58
39,12,4,100.0,34.35,0.173,0.08,59
39,18,4,100.0,163.75,0.177,17.85,108
39,24,4,100.0,34.7,0.146,0.37,71
39,30,4,100.0,48.05,0.194,0.8,59
40,2,4,100.0,32.5,0.133,0.08,144
40,6,4,100.0,35.2,0.092,0.01,81
40,12,4,100.0,37.8,0.105,0.51,99
40,18,4,100.0,78.35,0.144,1.98,53
40,24,4,100.0,48.05,0.132,1.6,71
40,30,4,100.0,40.6,0.113,0.93,38
41,2,4,100.0,31.95,0.106,0.06,102
41,6,4,100.0,41.85,0.083,0.04,54
41,12,4,100.0,36.0,0.118,0.98,55
41,18,4,100.0,43.25,0.134,0.42,41
41,24,4,100.0,79.65,0.247,5.04,58
41,30,4,100.0,56.35,0.136,1.89,62
42,2,4,100.0,36.05,0.08,0.01,91
42,6,4,100.0,46.65,0.158,0.0,68
42,12,4,100.0,57.0,0.106,0.0,53
42,18,4,100.0,34.4,0.12,0.28,56
42,24,4,100.0,51.1,0.147,1.04,61
42,30,4,100.0,64.3,0.139,2.0,56
43,2,4,100.0,19.2,0.1,0.02,108
43,6,4,100.0,42.0,0.156,0.0,71
43,12,4,100.0,63.7,0.146,1.02,47
43,18,4,100.0,45.5,0.15,1.29,110
43,24,4,100.0,141.1,0.393,17.07,63
43,30,4,100.0,78.85,0.121,1.27,63
44,2,4,100.0,27.2,0.091,0.01,91
44,6,4,100.0,31.6,0.112,0.01,57
44,12,4,100.0,47.5,0.138,1.29,69
44,18,4,100.0,31.65,0.12,0.34,55
44,24,4,100.0,111.7,0.246,10.1,123
44,30,4,100.0,48.9,0.175,0.85,64
45,2,4,100.0,27.45,0.09,0.2,70
45,6,4,100.0,30.95,0.093,0.04,57
45,12,4,100.0,51.2,0.182,0.03,55
45,18,4,100.0,35.3,0.146,0.3,52
45,24,4,100.0,44.95,0.176,0.54,50
45,30,4,100.0,51.7,0.252,0.46,38
46,2,4,100.0,21.45,0.093,0.0,96
46,6,4,100.0,31.75,0.072,0.0,54
46,12,4,100.0,36.8,0.121,0.05,58
46,18,4,100.0,49.35,0.151,0.09,55
46,24,4,100.0,45.75,0.157,0.34,57
46,30,4,100.0,51.55,0.185,0.65,66
47,2,4,100.0,21.25,0.091,0.0,86
47,6,4,100.0,27.05,0.132,0.1,78
47,12,4,100.0,51.25,0.108,0.14,62
47,18,4,100.0,42.45,0.105,0.04,54
47,24,4,100.0,52.3,0.144,0.82,67
47,30,4,100.0,31.55,0.168,0.12,39
48,2,4,100.0,32.25,0.084,0.01,92
48,6,4,100.0,32.65,0.111,0.49,85
48,12,4,100.0,29.65,0.204,0.03,88
48,18,4,100.0,96.1,0.072,0.75,54
48,24,4,100.0,47.35,0.124,0.17,54
48,30,4,100.0,42.25,0.151,0.07,54
49,2,4,100.0,28.5,0.087,0.23,61
49,6,4,100.0,42.75,0.097,0.02,55
49,12,4,100.0,62.4,0.126,0.71,67
49,18,4,100.0,42.5,0.118,0.17,59
49,24,4,100.0,50.9,0.209,1.67,73
49,30,4,100.0,95.5,0.196,5.46,60
50,2,4,100.0,24.35,0.083,0.0,65
50,6,4,100.0,76.8,0.192,2.15,140
50,12,4,100.0,48.75,0.154,0.64,61
50,18,4,100.0,149.3,0.093,8.04,64
50,24,4,100.0,49.1,0.152,3.29,113
50,30,4,100.0,37.7,0.13,0.96,48
51,2,4,100.0,42.8,0.079,0.0,72
51,6,4,100.0,74.7,0.138,0.57,56
51,12,4,100.0,65.35,0.145,0.12,51
51,18,4,100.0,49.1,0.118,0.48,66
51,24,4,100.0,68.7,0.107,0.75,48
51,30,4,100.0,50.4,0.218,1.89,65
52,2,4,100.0,21.45,0.095,0.01,96
52,6,4,100.0,36.5,0.096,0.53,60
52,12,4,100.0,48.65,0.171,0.04,73
52,18,4,100.0,84.1,0.227,9.39,88
52,24,4,100.0,91.7,0.144,1.13,47
