trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
9,w/o Corridor Reservation,R_lock constraint lifted,1,53.4,0,0.05,304,16,0.511,0
9,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.58,356,43,0.34,0
9,w/o S_trolley cost only,"w_S = 0, controller kept",1,67.5,0,0.04,694,24,0.511,0
9,w/o safety controller only,"controller off, w_S kept",1,25.75,0,0.09,156,68,0.0,0
9,w/o safety (full stack),S_trolley = 0 and controller off,1,45.35,0,0.05,183,99,0.0,0
10,Full D2RO Framework,None (Complete Equation),1,46.15,0,0.02,167,6,0.496,0
10,w/o V2V Mesh Telemetry,W_mesh = 0,1,38.15,0,0.01,139,5,0.496,0
10,w/o Corridor Reservation,R_lock constraint lifted,1,38.15,0,0.01,139,5,0.496,0
10,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.68,302,58,0.426,0
10,w/o S_trolley cost only,"w_S = 0, controller kept",1,46.0,0,0.02,251,5,0.504,0
10,w/o safety controller only,"controller off, w_S kept",1,55.0,0,0.01,240,70,0.0,0
10,w/o safety (full stack),S_trolley = 0 and controller off,1,42.85,0,0.02,250,92,0.0,0
11,Full D2RO Framework,None (Complete Equation),1,50.95,0,0.02,114,1,0.511,0
11,w/o V2V Mesh Telemetry,W_mesh = 0,1,34.7,0,0.01,326,5,0.496,0
11,w/o Corridor Reservation,R_lock constraint lifted,1,34.7,0,0.01,326,5,0.496,0
11,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,12.98,105,59,0.509,0
11,w/o S_trolley cost only,"w_S = 0, controller kept",1,50.95,0,0.02,229,4,0.511,0
11,w/o safety controller only,"controller off, w_S kept",1,47.8,0,0.02,125,27,0.0,0
11,w/o safety (full stack),S_trolley = 0 and controller off,1,47.8,0,0.02,216,74,0.0,0
12,Full D2RO Framework,None (Complete Equation),1,64.1,0,0.01,291,9,0.511,0
12,w/o V2V Mesh Telemetry,W_mesh = 0,1,32.45,0,0.01,109,3,0.51,0
12,w/o Corridor Reservation,R_lock constraint lifted,1,32.45,0,0.01,109,3,0.51,0
12,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,18.78,312,101,0.486,0
12,w/o S_trolley cost only,"w_S = 0, controller kept",1,48.6,0,0.01,300,5,0.511,0
12,w/o safety controller only,"controller off, w_S kept",1,60.8,0,0.01,400,70,0.0,0
12,w/o safety (full stack),S_trolley = 0 and controller off,1,43.9,0,0.01,303,95,0.0,0
13,Full D2RO Framework,None (Complete Equation),1,61.45,0,0.22,253,6,0.51,0
13,w/o V2V Mesh Telemetry,W_mesh = 0,1,35.4,0,0.02,143,3,0.51,0
13,w/o Corridor Reservation,R_lock constraint lifted,1,35.4,0,0.02,143,3,0.51,0
13,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.14,727,58,0.331,0
13,w/o S_trolley cost only,"w_S = 0, controller kept",1,67.15,0,0.27,815,9,0.499,0
13,w/o safety controller only,"controller off, w_S kept",1,57.35,0,0.22,332,128,0.0,0
13,w/o safety (full stack),S_trolley = 0 and controller off,1,56.0,0,0.32,353,123,0.0,0
14,Full D2RO Framework,None (Complete Equation),1,51.45,0,0.01,174,4,0.506,0
14,w/o V2V Mesh Telemetry,W_mesh = 0,1,38.1,0,0.01,314,7,0.491,0
14,w/o Corridor Reservation,R_lock constraint lifted,1,38.1,0,0.01,314,7,0.491,0
14,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,17.43,156,52,0.391,0
14,w/o S_trolley cost only,"w_S = 0, controller kept",1,51.7,0,0.01,290,5,0.511,0
14,w/o safety controller only,"controller off, w_S kept",1,53.95,0,0.01,137,45,0.0,0
14,w/o safety (full stack),S_trolley = 0 and controller off,1,43.25,0,0.01,287,97,0.0,0
15,Full D2RO Framework,None (Complete Equation),1,42.6,0,0.0,114,1,0.511,0
15,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.55,0,0.0,52,2,0.517,0
15,w/o Corridor Reservation,R_lock constraint lifted,1,27.55,0,0.0,52,2,0.517,0
15,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.32,293,76,0.51,0
15,w/o S_trolley cost only,"w_S = 0, controller kept",1,42.6,0,0.0,229,4,0.511,0
15,w/o safety controller only,"controller off, w_S kept",1,39.45,0,0.0,125,27,0.0,0
15,w/o safety (full stack),S_trolley = 0 and controller off,1,39.45,0,0.0,216,74,0.0,0
16,Full D2RO Framework,None (Complete Equation),1,80.45,0,0.08,378,6,0.506,0
16,w/o V2V Mesh Telemetry,W_mesh = 0,1,45.65,0,0.07,266,13,0.495,0
16,w/o Corridor Reservation,R_lock constraint lifted,1,45.65,0,0.07,266,13,0.495,0
16,w/o Human Gaussian Proxemics,H_prox = 0,1,155.45,0,13.97,281,38,0.483,0
16,w/o S_trolley cost only,"w_S = 0, controller kept",1,61.8,0,0.01,416,9,0.504,0
16,w/o safety controller only,"controller off, w_S kept",1,51.5,0,0.04,308,152,0.0,0
16,w/o safety (full stack),S_trolley = 0 and controller off,1,46.8,0,0.01,357,119,0.0,0
17,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,152,2,0.511,0
17,w/o V2V Mesh Telemetry,W_mesh = 0,1,28.55,0,0.0,38,1,0.517,0
17,w/o Corridor Reservation,R_lock constraint lifted,1,28.55,0,0.0,38,1,0.517,0
17,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.99,228,54,0.502,0
17,w/o S_trolley cost only,"w_S = 0, controller kept",1,44.35,0,0.0,246,5,0.511,0
17,w/o safety controller only,"controller off, w_S kept",1,39.05,0,0.0,151,47,0.0,0
17,w/o safety (full stack),S_trolley = 0 and controller off,1,40.5,0,0.0,224,82,0.0,0
18,Full D2RO Framework,None (Complete Equation),1,26.4,0,0.04,103,10,0.511,0
18,w/o V2V Mesh Telemetry,W_mesh = 0,1,64.25,0,0.04,866,10,0.506,0
18,w/o Corridor Reservation,R_lock constraint lifted,1,64.25,0,0.04,866,10,0.506,0
18,w/o Human Gaussian Proxemics,H_prox = 0,1,84.25,0,3.11,148,31,0.512,0
18,w/o S_trolley cost only,"w_S = 0, controller kept",1,32.55,0,0.04,226,12,0.512,0
18,w/o safety controller only,"controller off, w_S kept",1,26.45,0,0.04,140,90,0.0,0
18,w/o safety (full stack),S_trolley = 0 and controller off,1,24.6,0,0.03,267,113,0.0,0
19,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,114,1,0.511,0
19,w/o V2V Mesh Telemetry,W_mesh = 0,1,34.55,0,0.0,113,3,0.505,0
19,w/o Corridor Reservation,R_lock constraint lifted,1,34.55,0,0.0,113,3,0.505,0
