channel,packet_loss_rate,latency_s,trial_id,mesh_enabled,anticipation_lead_time_s,backtrack_distance_m,path_length_m,makespan_s,success
loss20_lat200ms,0.2,0.2,11,1,6.85,0.956,19.73,17.4,1
loss20_lat200ms,0.2,0.2,12,0,-0.05,1.553,24.02,21.6,1
loss20_lat200ms,0.2,0.2,12,1,-0.05,1.553,24.02,21.6,1
loss20_lat200ms,0.2,0.2,13,0,-0.05,2.047,23.1,20.85,1
loss20_lat200ms,0.2,0.2,13,1,10.75,1.203,24.8,22.25,1
loss20_lat200ms,0.2,0.2,14,0,-0.1,1.871,23.6,21.25,1
loss20_lat200ms,0.2,0.2,14,1,-0.1,1.871,23.6,21.25,1
loss20_lat200ms,0.2,0.2,15,0,-0.05,2.189,22.5,20.35,1
loss20_lat200ms,0.2,0.2,15,1,10.95,1.203,24.8,22.25,1
loss20_lat200ms,0.2,0.2,16,0,-0.15,3.656,29.75,27.25,1
loss20_lat200ms,0.2,0.2,16,1,7.0,0.956,19.73,17.4,1
loss20_lat200ms,0.2,0.2,17,0,-0.05,3.808,27.65,26.7,1
loss20_lat200ms,0.2,0.2,17,1,11.8,1.203,24.8,22.25,1
loss20_lat200ms,0.2,0.2,18,0,-0.1,1.854,20.93,18.55,1
loss20_lat200ms,0.2,0.2,18,1,-0.1,1.854,20.93,18.55,1
loss20_lat200ms,0.2,0.2,19,0,-0.05,1.854,20.93,18.55,1
loss20_lat200ms,0.2,0.2,19,1,-0.05,1.854,20.93,18.55,1
loss20_lat200ms,0.2,0.2,20,0,-0.1,3.643,29.69,26.95,1
loss20_lat200ms,0.2,0.2,20,1,12.15,1.203,24.8,22.25,1
