trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
19,12,10,100.0,51.4,0.548,0.0,1215
20,2,10,100.0,58.6,0.515,0.0,8
20,4,10,100.0,47.65,0.296,0.0,73
20,6,10,100.0,68.0,0.407,0.0,350
20,8,10,100.0,46.6,0.437,0.0,379
20,10,10,100.0,57.45,0.454,0.0,698
20,12,10,100.0,225.2,0.617,0.0,1349
21,2,10,100.0,43.7,0.241,0.0,5
21,4,10,100.0,206.6,0.356,0.0,254
21,6,10,100.0,128.8,0.592,0.0,248
21,8,10,100.0,152.15,0.446,0.0,621
21,10,10,100.0,123.1,0.249,0.0,1594
21,12,10,0.0,240.0,0.621,0.0,1191
22,2,10,100.0,53.85,0.268,0.0,6
22,4,10,100.0,42.15,0.345,0.0,49
22,6,10,100.0,69.6,0.426,0.0,319
22,8,10,100.0,48.85,0.509,0.0,500
22,10,10,100.0,66.45,0.307,0.0,599
22,12,10,100.0,42.3,0.438,0.0,968
23,2,10,100.0,38.7,0.236,0.0,6
23,4,10,100.0,67.05,0.409,0.0,105
23,6,10,0.0,240.0,0.411,0.0,329
23,8,10,100.0,70.5,0.523,0.0,494
23,10,10,0.0,240.0,0.192,0.0,1079
23,12,10,100.0,48.5,0.534,0.0,1036
24,2,10,100.0,38.7,0.268,0.0,5
24,4,10,100.0,56.65,0.25,0.0,65
24,6,10,100.0,45.75,0.305,0.0,182
24,8,10,100.0,137.75,0.415,0.0,368
24,10,10,100.0,58.9,0.356,0.0,743
24,12,10,100.0,38.9,0.449,0.0,1010
25,2,10,100.0,52.35,0.24,0.0,6
25,4,10,100.0,26.15,0.339,0.0,80
25,6,10,100.0,119.2,0.436,0.0,514
25,8,10,100.0,69.95,0.552,0.0,908
25,10,10,100.0,57.35,0.526,0.0,1058
25,12,10,100.0,57.95,0.461,0.0,1209
26,2,10,100.0,39.0,0.254,0.0,9
26,4,10,100.0,67.0,0.396,0.0,98
26,6,10,100.0,70.7,0.366,0.0,225
26,8,10,100.0,47.15,0.403,0.0,467
26,10,10,100.0,125.85,0.207,0.0,749
26,12,10,0.0,240.0,0.548,0.0,1108
27,2,10,100.0,53.1,0.228,0.0,5
27,4,10,100.0,59.2,0.407,0.0,68
27,6,10,100.0,49.2,0.374,0.0,210
27,8,10,100.0,43.55,0.439,0.0,370
27,10,10,100.0,46.35,0.365,0.0,780
27,12,10,100.0,59.2,0.574,0.0,1060
28,2,10,100.0,36.0,0.226,0.0,5
28,4,10,100.0,40.4,0.378,0.0,90
28,6,10,100.0,70.45,0.389,0.0,429
28,8,10,100.0,76.15,0.385,0.0,619
28,10,10,100.0,56.3,0.552,0.0,725
28,12,10,100.0,55.8,0.512,0.0,1146
29,2,10,100.0,31.95,0.292,0.0,6
29,4,10,100.0,126.6,0.464,0.0,303
29,6,10,100.0,112.7,1.094,0.0,367
29,8,10,100.0,43.15,0.408,0.0,321
29,10,10,100.0,43.35,0.371,0.0,706
29,12,10,100.0,45.75,0.648,0.0,1102
30,2,10,100.0,57.65,0.355,0.0,15
30,4,10,100.0,56.6,0.262,0.0,77
30,6,10,100.0,59.3,0.337,0.0,289
30,8,10,100.0,56.0,0.362,0.0,411
30,10,10,100.0,38.35,0.448,0.0,697
30,12,10,100.0,159.0,0.545,0.0,2302
31,2,10,100.0,31.05,0.325,0.0,6
31,4,10,100.0,158.35,0.305,0.0,264
31,6,10,100.0,32.6,0.522,0.0,213
31,8,10,100.0,88.9,0.25,0.0,364
31,10,10,100.0,67.9,0.278,0.0,640
31,12,10,0.0,240.0,0.463,0.0,911
32,2,10,100.0,44.1,0.297,0.0,6
32,4,10,100.0,38.6,0.376,0.0,69
32,6,10,100.0,51.55,0.316,0.0,226
32,8,10,100.0,155.4,0.662,0.0,782
32,10,10,0.0,240.0,0.433,0.0,964
32,12,10,100.0,57.85,0.616,0.0,1130
33,2,10,100.0,32.05,0.268,0.0,6
33,4,10,100.0,51.6,0.367,0.0,89
33,6,10,100.0,38.15,0.341,0.0,240
33,8,10,100.0,65.35,0.263,0.0,389
33,10,10,100.0,42.7,0.271,0.0,746
33,12,10,100.0,99.9,0.458,0.0,1135
34,2,10,100.0,61.85,0.258,0.0,6
34,4,10,100.0,63.3,0.261,0.0,74
34,6,10,100.0,39.1,0.57,0.0,210
34,8,10,100.0,36.3,0.458,0.0,352
34,10,10,100.0,45.05,0.353,0.0,829
34,12,10,100.0,55.0,0.45,0.0,882
35,2,10,100.0,22.6,0.262,0.0,10
35,4,10,100.0,40.75,0.332,0.0,82
35,6,10,100.0,43.25,0.391,0.0,218
35,8,10,100.0,43.7,0.291,0.0,473
35,10,10,100.0,35.45,0.14,0.0,749
35,12,10,100.0,58.1,0.203,0.0,913
36,2,10,0.0,240.0,0.141,0.0,11
36,4,10,100.0,41.7,0.159,0.0,68
36,6,10,100.0,94.9,0.127,0.0,377
36,8,10,100.0,44.15,0.094,0.0,365
36,10,10,100.0,61.55,0.172,0.0,700
36,12,10,100.0,53.95,0.155,0.0,1092
37,2,10,100.0,51.0,0.101,0.0,10
37,4,10,100.0,61.05,0.108,0.0,85
37,6,10,100.0,62.1,0.142,0.0,258
37,8,10,100.0,46.9,0.134,0.0,330
37,10,10,100.0,58.55,0.169,0.0,798
37,12,10,100.0,105.55,0.157,0.0,1096
38,2,10,100.0,39.75,0.115,0.0,7
38,4,10,100.0,69.1,0.099,0.0,149
38,6,10,100.0,58.3,0.206,0.0,321
38,8,10,100.0,54.1,0.158,0.0,356
38,10,10,100.0,169.1,0.086,0.0,1101
38,12,10,100.0,52.25,0.175,0.0,1098
39,2,10,100.0,50.75,0.117,0.0,17
39,4,10,100.0,50.5,0.064,0.0,69
39,6,10,100.0,48.45,0.122,0.0,249
39,8,10,100.0,97.7,0.171,0.0,519
39,10,10,100.0,55.8,0.151,0.0,867
39,12,10,100.0,37.7,0.178,0.0,1169
40,2,10,100.0,74.6,0.098,0.0,16
40,4,10,100.0,35.2,0.122,0.0,87
40,6,10,100.0,44.75,0.115,0.0,137
40,8,10,100.0,129.45,0.194,0.0,854
40,10,10,100.0,205.1,0.133,0.0,2373
40,12,10,0.0,240.0,0.209,0.0,1013
41,2,10,100.0,60.7,0.085,0.0,14
41,4,10,100.0,48.4,0.13,0.0,57
41,6,10,100.0,80.35,0.226,0.0,309
41,8,10,100.0,55.15,0.108,0.0,415
41,10,10,100.0,93.7,0.105,0.0,1187
41,12,10,0.0,240.0,0.231,0.0,1254
42,2,10,100.0,48.65,0.077,0.0,9
42,4,10,100.0,53.35,0.137,0.0,53
42,6,10,100.0,44.5,0.19,0.0,229
42,8,10,100.0,81.55,0.113,0.0,353
42,10,10,100.0,45.4,0.175,0.0,701
42,12,10,100.0,49.95,0.174,0.0,848
43,2,10,100.0,41.65,0.118,0.0,3
43,4,10,100.0,182.0,0.115,0.0,72
43,6,10,100.0,58.6,0.148,0.0,219
43,8,10,100.0,53.6,0.187,0.0,410
43,10,10,0.0,240.0,0.254,0.0,572
43,12,10,100.0,86.75,0.204,0.0,1255
44,2,10,100.0,71.75,0.104,0.0,8
44,4,10,100.0,34.6,0.131,0.0,77
44,6,10,100.0,82.35,0.086,0.0,199
44,8,10,100.0,48.0,0.189,0.0,601
44,10,10,100.0,42.5,0.151,0.0,766
44,12,10,100.0,44.1,0.193,0.0,702
45,2,10,100.0,43.75,0.182,0.0,5
45,4,10,100.0,57.05,0.162,0.0,76
45,6,10,100.0,70.35,0.174,0.0,293
45,8,10,100.0,138.65,0.233,0.0,1140
45,10,10,100.0,65.15,0.151,0.0,952
45,12,10,0.0,240.0,0.204,0.0,2592
46,2,10,100.0,41.7,0.077,0.0,6
46,4,10,100.0,60.7,0.213,0.0,86
46,6,10,100.0,51.2,0.165,0.0,261
46,8,10,100.0,46.25,0.22,0.0,477
46,10,10,100.0,62.65,0.153,0.0,1366
46,12,10,0.0,240.0,0.216,0.0,1313
47,2,10,100.0,46.8,0.112,0.0,10
47,4,10,100.0,44.95,0.103,0.0,57
47,6,10,100.0,46.2,0.186,0.0,167
47,8,10,100.0,62.65,0.192,0.0,648
47,10,10,100.0,40.8,0.119,0.0,797
47,12,10,100.0,97.0,0.31,0.0,1381
48,2,10,100.0,32.4,0.105,0.0,6
48,4,10,100.0,52.85,0.131,0.0,95
48,6,10,100.0,37.4,0.162,0.0,197
48,8,10,100.0,89.75,0.273,0.0,683
48,10,10,0.0,240.0,0.075,0.0,1736
48,12,10,100.0,67.75,0.185,0.0,942
49,2,10,100.0,60.8,0.183,0.0,11
49,4,10,100.0,55.05,0.11,0.0,110
49,6,10,100.0,40.85,0.126,0.0,217
49,8,10,100.0,171.3,0.145,0.0,1343
49,10,10,100.0,78.0,0.104,0.0,1060
49,12,10,100.0,58.6,0.221,0.0,981
50,2,10,100.0,42.9,0.071,0.0,9
50,4,10,100.0,175.95,0.136,0.0,113
50,6,10,100.0,38.15,0.292,0.0,201
50,8,10,100.0,50.5,0.136,0.0,365
50,10,10,100.0,54.75,0.345,0.0,778
50,12,10,100.0,54.1,0.179,0.0,899
51,2,10,100.0,61.15,0.094,0.0,14
51,4,10,100.0,34.4,0.139,0.0,65
51,6,10,100.0,38.65,0.121,0.0,298
51,8,10,100.0,58.55,0.113,0.0,414
51,10,10,100.0,41.0,0.115,0.0,830
51,12,10,100.0,61.7,0.212,0.0,1440
52,2,10,100.0,83.65,0.13,0.0,26
52,4,10,100.0,36.8,0.116,0.0,84
52,6,10,0.0,240.0,0.108,0.0,218
52,8,10,100.0,62.45,0.153,0.0,546
52,10,10,100.0,34.75,0.17,0.0,759
52,12,10,100.0,36.85,0.208,0.0,1046
53,2,10,100.0,35.65,0.114,0.0,8
53,4,10,100.0,53.6,0.146,0.0,60
53,6,10,100.0,57.4,0.137,0.0,272
53,8,10,100.0,73.05,0.153,0.0,636
53,10,10,0.0,240.0,0.059,0.0,659
53,12,10,0.0,240.0,0.16,0.0,1560
54,2,10,100.0,30.05,0.136,0.0,10
54,4,10,100.0,43.45,0.114,0.0,80
54,6,10,100.0,73.25,0.095,0.0,218
54,8,10,100.0,65.75,0.093,0.0,394
54,10,10,100.0,128.0,0.178,0.0,1311
54,12,10,100.0,67.75,0.227,0.0,1255
55,2,10,100.0,40.65,0.141,0.0,7
55,4,10,100.0,61.05,0.176,0.0,80
55,6,10,100.0,43.6,0.157,0.0,223
55,8,10,100.0,66.55,0.126,0.0,431
55,10,10,100.0,48.25,0.08,0.0,741
55,12,10,100.0,83.3,0.109,0.0,802
56,2,10,0.0,240.0,0.043,0.0,53
56,4,10,100.0,103.75,0.172,0.0,262
56,6,10,100.0,141.15,0.237,0.0,701
56,8,10,100.0,54.05,0.141,0.0,448
56,10,10,100.0,67.25,0.157,0.0,738
56,12,10,100.0,55.05,0.194,0.0,1029
57,2,10,100.0,40.95,0.113,0.0,8
57,4,10,100.0,74.3,0.152,0.0,69
57,6,10,100.0,84.2,0.097,0.0,279
57,8,10,100.0,87.55,0.168,0.0,656
57,10,10,0.0,240.0,0.107,0.0,1129
57,12,10,0.0,240.0,0.162,0.0,938
58,2,10,100.0,60.35,0.33,0.0,10
58,4,10,100.0,51.95,0.227,0.0,57
58,6,10,100.0,59.0,0.285,0.0,310
58,8,10,100.0,56.65,0.328,0.0,368
58,10,10,100.0,157.0,0.114,0.0,1648
58,12,10,100.0,76.6,0.206,0.0,1045
59,2,10,100.0,34.6,0.116,0.0,5
59,4,10,100.0,57.65,0.162,0.0,80
59,6,10,100.0,43.75,0.339,0.0,228
59,8,10,100.0,49.45,0.147,0.0,327
59,10,10,100.0,83.95,0.133,0.0,1020
59,12,10,100.0,186.9,0.224,0.0,998
60,2,10,100.0,52.55,0.148,0.0,5
60,4,10,100.0,70.0,0.126,0.0,133
60,6,10,100.0,72.05,0.201,0.0,310
60,8,10,100.0,50.5,0.122,0.0,434
60,10,10,100.0,78.7,0.169,0.0,945
60,12,10,0.0,240.0,0.367,0.0,1184
61,2,10,100.0,47.95,0.066,0.0,5
61,4,10,100.0,52.9,0.126,0.0,74
61,6,10,100.0,50.2,0.161,0.0,257
61,8,10,100.0,62.9,0.166,0.0,680
61,10,10,100.0,72.65,0.169,0.0,888
61,12,10,100.0,107.75,0.186,0.0,1796
62,2,10,100.0,70.35,0.112,0.0,12
62,4,10,100.0,50.75,0.162,0.0,55
62,6,10,100.0,52.25,0.161,0.0,211
62,8,10,100.0,68.0,0.178,0.0,492
62,10,10,100.0,56.95,0.134,0.0,809
62,12,10,100.0,64.4,0.173,0.0,913
63,2,10,100.0,37.3,0.175,0.0,9
63,4,10,100.0,49.75,0.14,0.0,90
63,6,10,100.0,51.6,0.197,0.0,203
63,8,10,100.0,46.95,0.202,0.0,359
63,10,10,100.0,40.0,0.184,0.0,762
63,12,10,100.0,55.0,0.254,0.0,1166
64,2,10,100.0,43.9,0.167,0.0,6
64,4,10,100.0,57.35,0.132,0.0,88
64,6,10,100.0,46.5,0.213,0.0,281
64,8,10,100.0,55.25,0.136,0.0,357
64,10,10,100.0,64.25,0.158,0.0,774
64,12,10,100.0,81.45,0.211,0.0,914
65,2,10,100.0,68.05,0.08,0.0,6
65,4,10,100.0,37.95,0.118,0.0,98
65,6,10,100.0,36.95,0.13,0.0,231
65,8,10,100.0,55.05,0.153,0.0,328
65,10,10,100.0,79.15,0.192,0.0,928
65,12,10,100.0,68.75,0.224,0.0,1115
66,2,10,100.0,56.9,0.167,0.0,10
66,4,10,100.0,52.1,0.154,0.0,59
66,6,10,100.0,64.25,0.208,0.0,249
66,8,10,100.0,55.1,0.182,0.0,363
66,10,10,100.0,69.0,0.168,0.0,955
66,12,10,100.0,46.35,0.181,0.0,894
67,2,10,100.0,38.85,0.128,0.0,5
67,4,10,100.0,47.2,0.085,0.0,60
67,6,10,100.0,88.1,0.156,0.0,382
67,8,10,100.0,43.8,0.194,0.0,382
67,10,10,100.0,57.8,0.145,0.0,865
67,12,10,100.0,81.15,0.234,0.0,1456
68,2,10,100.0,35.55,0.102,0.0,10
68,4,10,100.0,43.3,0.167,0.0,82
68,6,10,100.0,45.9,0.158,0.0,287
68,8,10,100.0,57.2,0.229,0.0,341
68,10,10,100.0,56.85,0.16,0.0,705
68,12,10,0.0,240.0,0.206,0.0,1463
69,2,10,100.0,34.6,0.106,0.0,5
69,4,10,100.0,65.7,0.178,0.0,189
69,6,10,100.0,54.65,0.218,0.0,266
69,8,10,100.0,48.7,0.118,0.0,484
69,10,10,100.0,51.1,0.174,0.0,855
69,12,10,100.0,56.5,0.294,0.0,919
70,2,10,100.0,44.75,0.098,0.0,4
70,4,10,100.0,55.1,0.13,0.0,116
70,6,10,100.0,55.15,0.108,0.0,245
70,8,10,100.0,40.3,0.174,0.0,518
70,10,10,100.0,47.1,0.11,0.0,780
70,12,10,100.0,83.65,0.203,0.0,964
71,2,10,100.0,54.05,0.14,0.0,7
71,4,10,100.0,52.9,0.141,0.0,58
71,6,10,100.0,82.25,0.151,0.0,438
71,8,10,100.0,54.65,0.18,0.0,406
71,10,10,100.0,47.4,0.147,0.0,776
71,12,10,100.0,57.8,0.226,0.0,991
72,2,10,100.0,37.65,0.088,0.0,9
72,4,10,100.0,50.5,0.129,0.0,88
72,6,10,100.0,60.75,0.15,0.0,209
72,8,10,100.0,105.3,0.175,0.0,568
72,10,10,100.0,100.9,0.169,0.0,1177
72,12,10,0.0,240.0,0.156,0.0,1625
73,2,10,100.0,52.75,0.092,0.0,8
73,4,10,100.0,48.65,0.095,0.0,55
73,6,10,100.0,176.3,0.138,0.0,900
73,8,10,100.0,53.15,0.207,0.0,430
73,10,10,100.0,54.35,0.104,0.0,709
73,12,10,100.0,39.3,0.231,0.0,935
74,2,10,100.0,56.85,0.096,0.0,14
74,4,10,100.0,44.6,0.103,0.0,81
74,6,10,100.0,48.45,0.144,0.0,217
74,8,10,100.0,32.15,0.178,0.0,383
74,10,10,0.0,240.0,0.171,0.0,1821
