trial_id,config,weight_varied,multiplier,w_D,w_M,w_H,w_R,w_S,success,makespan_s,intimate_exposure_ticks,discomfort_integral,replans
26,w_Dx0.5,w_D,0.5,0.5,1.5,2.0,1.0,1.2,1,83.75,80,0.55,806
27,w_Dx0.5,w_D,0.5,0.5,1.5,2.0,1.0,1.2,1,46.6,0,0.025,449
28,w_Dx0.5,w_D,0.5,0.5,1.5,2.0,1.0,1.2,1,68.7,0,0.207,706
29,w_Dx0.5,w_D,0.5,0.5,1.5,2.0,1.0,1.2,1,37.75,0,0.027,414
30,w_Dx0.5,w_D,0.5,0.5,1.5,2.0,1.0,1.2,1,46.65,0,0.011,444
1,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,42.1,0,0.001,404
2,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,37.75,0,0.002,411
3,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,37.75,0,0.001,398
4,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,37.1,0,0.0,428
5,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,36.9,0,0.015,432
6,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,37.0,0,0.103,425
7,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,39.55,0,0.003,447
8,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,36.2,0,0.009,420
9,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,67.45,0,0.311,516
10,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,65.2,12,0.463,587
11,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,41.9,0,0.006,396
12,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,38.0,0,0.011,523
13,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,34.4,0,0.004,389
14,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,41.15,0,0.005,410
15,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,40.4,0,0.01,415
16,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,39.05,0,0.003,410
17,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,40.6,0,0.007,400
18,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,42.45,0,0.015,485
19,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,44.6,0,0.001,431
20,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,42.2,0,0.032,547
21,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,32.35,0,0.066,477
22,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,36.65,0,0.0,424
23,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,34.55,0,0.006,395
24,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,37.3,0,0.005,414
25,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,43.65,0,0.01,433
26,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,45.7,0,0.072,577
27,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,34.35,0,0.013,416
28,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,42.55,0,0.037,399
29,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,38.05,0,0.029,444
30,w_Dx0.75,w_D,0.75,0.75,1.5,2.0,1.0,1.2,1,41.55,0,0.012,413
1,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,53.05,0,0.146,570
2,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,32.95,0,0.01,405
3,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,36.4,0,0.0,361
4,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,60.7,0,0.001,569
5,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,43.9,0,0.033,527
6,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,44.05,0,0.019,491
7,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,42.2,0,0.002,341
8,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,52.45,0,0.023,518
9,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,57.85,0,0.187,621
10,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,27.65,0,0.037,373
11,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,48.7,0,0.028,500
12,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,26.05,0,0.001,395
13,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,42.2,0,0.0,321
14,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,53.1,0,0.006,378
15,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,34.45,0,0.026,429
16,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,44.85,0,0.003,407
17,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,37.45,0,0.019,439
18,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,36.85,0,0.026,440
19,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,60.2,0,0.012,581
20,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,71.1,0,0.058,517
21,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,22.0,0,0.065,355
22,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,42.1,0,0.0,378
23,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,43.0,0,0.006,397
24,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,34.55,0,0.024,473
25,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,49.3,0,0.013,403
26,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,67.5,0,0.067,660
27,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,37.3,0,0.019,465
28,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,54.05,6,0.439,558
29,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,28.1,0,0.025,377
30,w_Dx1.25,w_D,1.25,1.25,1.5,2.0,1.0,1.2,1,94.5,398,2.218,848
1,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,56.75,0,0.101,627
2,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,30.75,0,0.017,397
3,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,36.4,0,0.0,361
4,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,86.1,0,0.159,742
5,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,42.9,0,0.031,530
6,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,44.5,0,0.022,508
7,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,42.2,0,0.002,341
8,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,47.85,0,0.023,525
9,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,29.6,0,0.221,432
10,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,24.85,0,0.038,360
11,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,44.4,0,0.028,484
12,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,26.0,0,0.0,392
13,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,36.45,0,0.012,423
14,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,52.75,0,0.006,371
15,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,33.9,0,0.031,432
16,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,46.15,0,0.034,490
17,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,36.65,0,0.021,439
18,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,37.2,0,0.029,441
19,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,53.0,0,0.011,516
20,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,36.7,0,0.08,522
21,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,21.55,0,0.065,357
22,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,43.7,0,0.0,391
23,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,39.5,0,0.018,479
24,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,32.65,0,0.03,458
25,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,42.65,0,0.026,533
26,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,50.3,0,0.06,541
27,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,34.9,0,0.016,452
28,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,38.9,0,0.139,453
29,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,26.0,0,0.025,357
30,w_Dx1.5,w_D,1.5,1.5,1.5,2.0,1.0,1.2,1,45.95,0,0.018,504
1,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,36.5,0,0.003,475
2,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,37.75,0,0.001,377
3,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,37.75,0,0.001,386
4,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,36.95,0,0.0,426
5,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,45.3,0,0.008,458
6,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,44.25,0,0.022,517
7,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,42.2,0,0.003,367
8,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,43.25,0,0.009,424
9,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,55.85,0,0.05,555
10,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,58.55,0,0.008,409
11,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,59.2,0,0.009,456
12,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,33.45,0,0.012,423
13,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,34.75,0,0.014,415
14,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,52.95,0,0.004,414
