trial_id,mesh_enabled,separation_m,local_detection_time_s,reroute_time_s,anticipation_lead_time_s,backtrack_distance_m,path_length_m,makespan_s,success
46,0,8.2,0.7,0.85,-0.15,1.692,23.78,21.4,1
46,1,8.2,10.8,0.0,10.8,1.078,25.1,22.5,1
47,0,10.76,2.7,2.8,-0.1,4.001,29.76,27.2,1
47,1,10.76,7.35,0.0,7.35,0.729,19.48,17.15,1
48,0,10.61,2.6,2.65,-0.05,3.794,26.74,23.5,1
48,1,10.61,12.75,0.0,12.75,1.078,25.1,22.5,1
49,0,8.23,0.6,0.7,-0.1,1.49,20.4,18.05,1
49,1,8.23,5.25,0.0,5.25,0.729,19.48,17.15,1
50,0,10.1,2.1,2.2,-0.1,3.461,29.23,27.25,1
50,1,10.1,12.3,0.0,12.3,1.078,25.1,22.5,1
