trial_id,channel,packet_loss_rate,latency_s,success,makespan_s,intimate_exposure_ticks,mesh_packets,replans
26,loss00_lat100ms,0.0,0.1,1,34.85,0,75,434
27,loss00_lat100ms,0.0,0.1,1,42.4,0,74,372
28,loss00_lat100ms,0.0,0.1,1,43.35,0,72,352
29,loss00_lat100ms,0.0,0.1,1,66.85,0,70,441
30,loss00_lat100ms,0.0,0.1,1,66.5,0,71,559
1,loss00_lat200ms,0.0,0.2,1,42.2,0,74,463
2,loss00_lat200ms,0.0,0.2,1,91.25,0,72,656
3,loss00_lat200ms,0.0,0.2,1,42.2,0,72,492
4,loss00_lat200ms,0.0,0.2,1,74.9,0,75,676
5,loss00_lat200ms,0.0,0.2,1,21.15,0,86,347
6,loss00_lat200ms,0.0,0.2,1,86.05,0,70,684
7,loss00_lat200ms,0.0,0.2,1,21.3,0,86,361
8,loss00_lat200ms,0.0,0.2,1,36.85,0,78,398
9,loss00_lat200ms,0.0,0.2,1,28.0,0,86,483
10,loss00_lat200ms,0.0,0.2,1,47.05,0,70,438
11,loss00_lat200ms,0.0,0.2,1,21.2,0,86,389
12,loss00_lat200ms,0.0,0.2,1,38.1,0,73,526
13,loss00_lat200ms,0.0,0.2,1,47.05,0,70,520
14,loss00_lat200ms,0.0,0.2,1,40.2,0,75,495
15,loss00_lat200ms,0.0,0.2,1,44.85,0,72,356
16,loss00_lat200ms,0.0,0.2,1,44.85,0,70,461
17,loss00_lat200ms,0.0,0.2,1,42.2,0,74,357
18,loss00_lat200ms,0.0,0.2,1,42.2,0,72,390
19,loss00_lat200ms,0.0,0.2,1,70.15,0,70,486
20,loss00_lat200ms,0.0,0.2,1,51.4,0,82,403
21,loss00_lat200ms,0.0,0.2,1,30.55,0,68,479
22,loss00_lat200ms,0.0,0.2,1,56.85,0,72,453
23,loss00_lat200ms,0.0,0.2,1,42.2,0,74,335
24,loss00_lat200ms,0.0,0.2,1,40.65,47,98,508
25,loss00_lat200ms,0.0,0.2,1,42.8,0,74,333
26,loss00_lat200ms,0.0,0.2,1,34.85,0,75,438
27,loss00_lat200ms,0.0,0.2,1,42.4,0,74,375
28,loss00_lat200ms,0.0,0.2,1,43.35,0,72,356
29,loss00_lat200ms,0.0,0.2,1,66.85,0,70,445
30,loss00_lat200ms,0.0,0.2,1,66.5,0,71,563
1,loss05_lat000ms,0.05,0.0,1,42.2,0,69,457
2,loss05_lat000ms,0.05,0.0,1,44.35,0,66,411
3,loss05_lat000ms,0.05,0.0,1,42.2,0,69,486
4,loss05_lat000ms,0.05,0.0,1,77.55,0,66,677
5,loss05_lat000ms,0.05,0.0,1,21.15,0,78,341
6,loss05_lat000ms,0.05,0.0,1,86.05,0,69,679
7,loss05_lat000ms,0.05,0.0,1,21.3,0,71,357
8,loss05_lat000ms,0.05,0.0,1,36.85,0,84,390
9,loss05_lat000ms,0.05,0.0,1,28.0,0,78,479
10,loss05_lat000ms,0.05,0.0,1,47.05,0,68,432
11,loss05_lat000ms,0.05,0.0,1,21.2,0,80,385
12,loss05_lat000ms,0.05,0.0,1,38.1,0,70,522
13,loss05_lat000ms,0.05,0.0,1,47.05,0,68,516
14,loss05_lat000ms,0.05,0.0,1,40.2,0,70,490
15,loss05_lat000ms,0.05,0.0,1,44.35,0,64,359
16,loss05_lat000ms,0.05,0.0,1,87.15,0,72,832
17,loss05_lat000ms,0.05,0.0,1,42.2,0,62,351
18,loss05_lat000ms,0.05,0.0,1,42.2,0,48,383
19,loss05_lat000ms,0.05,0.0,1,70.15,0,63,481
20,loss05_lat000ms,0.05,0.0,1,56.9,0,67,421
21,loss05_lat000ms,0.05,0.0,1,30.55,0,64,471
22,loss05_lat000ms,0.05,0.0,1,56.85,0,54,447
23,loss05_lat000ms,0.05,0.0,1,42.2,0,61,330
24,loss05_lat000ms,0.05,0.0,1,40.65,47,95,503
25,loss05_lat000ms,0.05,0.0,1,42.8,0,68,330
26,loss05_lat000ms,0.05,0.0,1,34.85,0,67,433
27,loss05_lat000ms,0.05,0.0,1,42.4,0,68,369
28,loss05_lat000ms,0.05,0.0,1,43.35,0,67,351
29,loss05_lat000ms,0.05,0.0,1,66.85,0,62,440
30,loss05_lat000ms,0.05,0.0,1,66.5,0,69,558
1,loss05_lat050ms,0.05,0.05,1,42.2,0,72,457
2,loss05_lat050ms,0.05,0.05,1,44.35,0,66,411
3,loss05_lat050ms,0.05,0.05,1,42.2,0,70,486
4,loss05_lat050ms,0.05,0.05,1,77.55,0,66,677
5,loss05_lat050ms,0.05,0.05,1,21.15,0,75,338
6,loss05_lat050ms,0.05,0.05,1,86.05,0,69,679
7,loss05_lat050ms,0.05,0.05,1,21.3,0,59,354
8,loss05_lat050ms,0.05,0.05,1,36.85,0,84,392
9,loss05_lat050ms,0.05,0.05,1,28.0,0,66,477
10,loss05_lat050ms,0.05,0.05,1,47.05,0,69,432
11,loss05_lat050ms,0.05,0.05,1,21.2,0,80,385
12,loss05_lat050ms,0.05,0.05,1,38.1,0,67,521
13,loss05_lat050ms,0.05,0.05,1,47.05,0,66,515
14,loss05_lat050ms,0.05,0.05,1,40.2,0,70,490
15,loss05_lat050ms,0.05,0.05,1,44.5,0,68,355
16,loss05_lat050ms,0.05,0.05,1,87.15,0,69,832
17,loss05_lat050ms,0.05,0.05,1,42.2,0,71,352
18,loss05_lat050ms,0.05,0.05,1,42.2,0,38,382
19,loss05_lat050ms,0.05,0.05,1,70.15,0,65,481
20,loss05_lat050ms,0.05,0.05,1,56.9,0,67,422
21,loss05_lat050ms,0.05,0.05,1,30.55,0,67,472
22,loss05_lat050ms,0.05,0.05,1,56.85,0,60,447
23,loss05_lat050ms,0.05,0.05,1,42.2,0,68,329
24,loss05_lat050ms,0.05,0.05,1,40.65,47,96,503
25,loss05_lat050ms,0.05,0.05,1,42.8,0,70,329
26,loss05_lat050ms,0.05,0.05,1,34.85,0,58,430
27,loss05_lat050ms,0.05,0.05,1,42.4,0,60,368
28,loss05_lat050ms,0.05,0.05,1,43.35,0,70,351
29,loss05_lat050ms,0.05,0.05,1,66.85,0,69,441
30,loss05_lat050ms,0.05,0.05,1,66.5,0,70,558
1,loss05_lat100ms,0.05,0.1,1,42.2,0,72,458
2,loss05_lat100ms,0.05,0.1,1,44.5,0,66,409
3,loss05_lat100ms,0.05,0.1,1,42.2,0,70,487
4,loss05_lat100ms,0.05,0.1,1,77.55,0,66,679
5,loss05_lat100ms,0.05,0.1,1,21.15,0,75,342
